snapshot_ts,system_id,n_seen,n_kept,n_reserved,status,note
2026-07-06T04:49:49,torcy,224,145,0,ok,
2026-07-06T05:01:17,paris,1000,1000,0,ok,
2026-07-06T05:01:17,meaux,16,16,0,ok,
2026-07-06T05:01:17,chessy,88,74,0,ok,
2026-07-06T05:01:17,serris,69,2,0,ok,
2026-07-06T05:01:17,torcy,224,145,0,ok,
2026-07-06T05:15:34,paris,1000,1000,0,ok,
2026-07-06T05:15:34,meaux,16,16,0,ok,
2026-07-06T05:15:34,chessy,88,74,0,ok,
2026-07-06T05:15:34,serris,69,2,0,ok,
2026-07-06T05:15:34,torcy,224,145,0,ok,
2026-07-06T05:31:01,paris,1000,1000,0,ok,
2026-07-06T05:31:01,meaux,16,16,0,ok,
2026-07-06T05:31:01,chessy,88,74,0,ok,
2026-07-06T05:31:01,serris,69,2,0,ok,
2026-07-06T05:31:01,torcy,224,145,0,ok,
2026-07-06T05:45:35,paris,1000,1000,0,ok,
2026-07-06T05:45:35,meaux,16,16,0,ok,
2026-07-06T05:45:35,chessy,88,74,0,ok,
2026-07-06T05:45:35,serris,69,2,0,ok,
2026-07-06T05:45:35,torcy,224,145,0,ok,
2026-07-06T06:01:18,paris,1000,1000,0,ok,
2026-07-06T06:01:18,meaux,16,16,0,ok,
2026-07-06T06:01:18,chessy,88,74,0,ok,
2026-07-06T06:01:18,serris,69,2,0,ok,
2026-07-06T06:01:18,torcy,224,145,0,ok,
2026-07-06T06:15:35,paris,1000,1000,0,ok,
2026-07-06T06:15:35,meaux,16,16,0,ok,
2026-07-06T06:15:35,chessy,88,74,0,ok,
2026-07-06T06:15:35,serris,69,2,0,ok,
2026-07-06T06:15:35,torcy,224,145,0,ok,
2026-07-06T06:31:07,paris,1000,1000,0,ok,
2026-07-06T06:31:07,meaux,16,16,0,ok,
2026-07-06T06:31:07,chessy,88,74,0,ok,
2026-07-06T06:31:07,serris,69,2,0,ok,
2026-07-06T06:31:07,torcy,224,145,0,ok,
2026-07-06T06:45:34,paris,1000,1000,0,ok,
2026-07-06T06:45:34,meaux,16,16,0,ok,
